title,link,company,salary,location
"Account Executive, Strategic - Financial Services/Insurance",https://www.ycombinator.com/companies/scale-ai/jobs/CpEd2f3-account-executive-strategic-financial-services-insurance,Scale Ai,$125K - $175K,"New York, San Francisco, Seattle, Washington DC, or Remote / Remote (US)"
Account Executive: Lead - eCommerce,https://www.ycombinator.com/companies/scale-ai/jobs/HeWDhtt-account-executive-lead-ecommerce,Scale Ai,$125K - $175K,"New York, San Francisco, Seattle, Washington DC, or Remote / Remote (US)"
Account Executive: Global Accounts,https://www.ycombinator.com/companies/scale-ai/jobs/OBC6BJC-account-executive-global-accounts,Scale Ai,$125K - $175K,"New York, San Francisco, Seattle, Washington DC, or Remote / Remote (US)"
Account Executive - Automotive,https://www.ycombinator.com/companies/scale-ai/jobs/GElIDCC-account-executive-automotive,Scale Ai,$125K - $175K,"US, Europe, Asia, and/or Remote / Remote (US)"
Strategic Product Manager,https://www.ycombinator.com/companies/scale-ai/jobs/OuGucdK-strategic-product-manager,Scale Ai,$150K - $220K,"San Francisco, CA / New York, NY"
Product Manager,https://www.ycombinator.com/companies/smartasset/jobs/rfaA2Ac-product-manager,Smartasset,$99K - $175K,US / Remote (US)
Senior Software Engineer,https://www.ycombinator.com/companies/smartasset/jobs/voUhWim-senior-software-engineer,Smartasset,$117K - $210K,US / Remote (US)
"Head of Engineering, Identity Graph",https://www.ycombinator.com/companies/stripe/jobs/yaLKuLq-head-of-engineering-identity-graph,Stripe,11+ years,San Francisco  / Remote
"Machine Learning Engineer, Identity",https://www.ycombinator.com/companies/stripe/jobs/9d8GGVs-machine-learning-engineer-identity,Stripe,6+ years,San Francisco  / Remote
"Frontend Engineer, Identity",https://www.ycombinator.com/companies/stripe/jobs/jdBhPmD-frontend-engineer-identity,Stripe,6+ years,United States / Remote
Senior Software Engineer,https://www.ycombinator.com/companies/webflow/jobs/f6mP23DLZ-senior-software-engineer,Webflow,3+ years,"San Francisco, CA or Remote (US Only) / Remote"
Quality Assurance Manager ,https://www.ycombinator.com/companies/webflow/jobs/g64Qosx6L-quality-assurance-manager,Webflow,3+ years,"San francisco, CA or Remote (US Only) / Remote (US)"
Senior Software Engineer,https://www.ycombinator.com/companies/webflow/jobs/dpOreCP6x-senior-software-engineer,Webflow,3+ years,"San francisco, CA / Remote"
"Software Engineer, Search and Discovery Platform",https://www.ycombinator.com/companies/whatnot/jobs/RmeBmAy-software-engineer-search-and-discovery-platform,Whatnot,$215K - $245K,"San Francisco, CA, US / Los Angeles, CA, US / Seattle, WA, US / New York, NY, US / Remote"
"Frontend Engineer, Customer Experience",https://www.ycombinator.com/companies/whatnot/jobs/ahUpZwM-frontend-engineer-customer-experience,Whatnot,$185K - $245K,"Remote (Seattle, WA, US; San Francisco, CA, US; New York, NY, US; Los Angeles, CA, US)"
"Android Engineer, Risk",https://www.ycombinator.com/companies/whatnot/jobs/WgNPAgi-android-engineer-risk,Whatnot,$185K - $245K,"Remote (San Francisco, CA, US; Seattle, WA, US; New York, NY, US; Los Angeles, CA, US)"
"Software Engineer, Recommendation Systems",https://www.ycombinator.com/companies/whatnot/jobs/s4C94H2-software-engineer-recommendation-systems,Whatnot,$185K - $245K,"Los Angeles, CA, US / San Francisco, CA, US / New York, NY, US / Remote (US; CA)"
Identity and Access Management Architect - Ireland,https://www.ycombinator.com/companies/whatnot/jobs/BBJJVyI-identity-and-access-management-architect-ireland,Whatnot,6+ years,"Dublin, D, IE / Remote (Dublin, D, IE)"
Identity and Access Management Architect,https://www.ycombinator.com/companies/whatnot/jobs/SF8URHZ-identity-and-access-management-architect,Whatnot,$215K - $285K,Remote
"Software Engineer, Infrastructure - Dublin, Ireland/Kraków, Poland",https://www.ycombinator.com/companies/whatnot/jobs/wDrjDCt-software-engineer-infrastructure-dublin-ireland-krakow-poland,Whatnot,6+ years,"Dublin, D, IE / Kraków, Lesser Poland Voivodeship, PL / Remote (Dublin, D, IE; Kraków, Lesser Poland Voivodeship, PL)"
"iOS Engineer, Risk",https://www.ycombinator.com/companies/whatnot/jobs/R7dor43-ios-engineer-risk,Whatnot,$185K - $245K,"Remote (San Francisco, CA, US; Los Angeles, CA, US; Seattle, WA, US; New York, NY, US)"
"Fullstack Engineer, Community",https://www.ycombinator.com/companies/whatnot/jobs/BKmptzP-fullstack-engineer-community,Whatnot,$185K - $245K,"Remote (San Francisco, CA, US; Seattle, WA, US; New York, NY, US; Los Angeles, CA, US)"
"Software Engineer, Developer Productivity",https://www.ycombinator.com/companies/whatnot/jobs/SeFlBBK-software-engineer-developer-productivity,Whatnot,$185K - $245K,"San Francisco, CA, US / New York, NY, US / Los Angeles, CA, US / Seattle, WA, US / Remote (San Francisco, CA, US; New York, NY, US; Los Angeles, CA, US; Seattle, WA, US)"
"Software Engineer, Infrastructure",https://www.ycombinator.com/companies/whatnot/jobs/fwPQGwT-software-engineer-infrastructure,Whatnot,$185K - $245K,Remote - North America / Remote (US)
"Software Engineer, Machine Learning",https://www.ycombinator.com/companies/whatnot/jobs/0ySWf4b-software-engineer-machine-learning,Whatnot,6+ years,Remote - North America / Remote (US; CA)
